Develo Magazine Appendix CD-ROM for SegaSaturn	0
Device Reign	0
Devil Summoner - Soul Hackers	3
Devil Summoner - Soul Hackers - Akuma Zensho Daini-shuu	0
Devil Summoner - Soul Hackers Extra Dungeon	0
Devil Summoner - Soul Hackers + Ronde	0
Dezaemon 2	0
Die Hard Arcade	3
Die Hard Trilogy	3
Digital Ange - Dennou Tenshi SS	0
Digital Dance Mix Vol. 1 - Namie Amuro	4
Digital Monster Ver. S - Digimon Tamers	3
Digital Pinball	3
Digital Pinball - Last Gladiators	0
Digital Pinball - Last Gladiators Ver.9.7	0
Digital Pinball - Necronomicon	2
Digital Pinball - Necronomicon - Revelations	2
Dino Island	2
Dino Island - Yokoku-hen	0
Disc Station Bessatsu - I Miss You. Tanaka Katsumi	0
Discworld	1
Discworld II - Missing Presumed...!	1
DJ Wars	0
D no Shokutaku	0
DoDonPachi	1
DonPachi	0
Doom	3
Doraemon - Nobita to Fukkatsu no Hoshi	4
Double Switch	0
Doukoku Soshite...	3
Doukyuusei 2	3
Doukyuusei - if	4
Dragon Ball Z - Idainaru Dragon Ball Densetsu	2
Dragon Ball Z - La Grande Legende des Boules de Cristal	5
Dragon Ball Z - Shinbutouden	1
Dragon Force	3
Dragon Force II - Kami Sarishi Daichi ni	2
DragonHeart - Fire & Steel	0
Dragon Master Silk	2
Dragon's Dream	0
Dream Generation - Koi ka Shigoto ka!...	0
Dream Square - Hinagata Akiko	0
Drift King Shutokou Battle '97 - Tsuchiya Keiichi & Bandou Masaaki	0
Druid - Yami e no Tsuisekisha	0
Duke Nukem 3D	0
Dungeon Master Nexus	0
Dungeons & Dragons Collection	3
D-Xhird	5
DX Nippon Tokkyuu Ryokou Game - Let's Travel in Japan	0
Dynamite Deka	5
Earthworm Jim 2	5
Eberouge	0
Eberouge Special - Koi to Mahou no Gakuen Seikatsu	0
EGWord	0
EGWord Ver 2.00	0
Eisei Meijin	0
Eisei Meijin II	0
Eiyuu Shigan - Gal Act Heroism	0
Elevator Action^2 - Returns	4
Elf o Karu Monotachi	0
Elf o Karu Monotachi - Hanafuda-hen	0
Elf o Karu Monotachi II	0
Emit Vol. 1 - Toki no Maigo	2
Emit Vol. 2 - Inochigake no Tabi	0
Emit Vol. 3 - Watashi ni Sayonara o	0
Enemy Zero	1
Eternal Melody	3
Etude Prologue - Yureugoku Kokoro no Katachi	0
Eve - Burst Error	3
Eve - The Lost One	0
Exhumed	4
Eyeful Home	0
F-1 Challenge	1
F1 Challenge	1
F-1 Live Information	1
Falcom Classics	3
Falcom Classics II	3
Fantastep	3
Farland Saga	0
Farland Saga - Toki no Michishirube	0
Farland Story - Habou no Mai	0
Father Christmas	0
FEDA Remake! The Emblem of Justice	3
FIFA 97	3
FIFA - Die WM-Qualifikation 98	0
FIFA - En Route pour la Coupe du Monde 98	0
FIFA - Road to World Cup 98	3
FIFA - Rumbo al Mundial 98	0
FIFA Soccer 96	1
FIFA Soccer 97	3
Fighter's History Dynamite	3
Fighters Megamix	3
Fighting Vipers	3
Final Fight Revenge	1
Find Love 2 - Rhapsody	0
Find Love 2 - The Prologue	0
Fire Pro Gaiden Blazing Tornado	3
Fire Prowrestling S - 6Men Scramble	1
Firestorm - Thunderhawk 2	0
Fishing Koushien	0
Fishing Koushien II	0
Fist	4
Flash SegaSaturn - Ochikazuki-hen	0
Flash SegaSaturn Vol. 1	0
Flash SegaSaturn Vol. 10	0
Flash SegaSaturn Vol. 11	0
Flash SegaSaturn Vol. 12	0
Flash SegaSaturn Vol. 13	0
Flash SegaSaturn Vol. 14	0
Flash SegaSaturn Vol. 15	0
Flash SegaSaturn Vol. 16	0
Flash SegaSaturn Vol. 17	0
Flash SegaSaturn Vol. 18	0
Flash SegaSaturn Vol. 19	0
Flash SegaSaturn Vol. 2	0
Flash SegaSaturn Vol. 20	0
Flash SegaSaturn Vol. 21	0
Flash SegaSaturn Vol. 22	0
Flash SegaSaturn Vol. 23	0
Flash SegaSaturn Vol. 24	0
Flash SegaSaturn Vol. 25	0
Flash SegaSaturn Vol. 26	0
Flash SegaSaturn Vol. 27	0
Flash SegaSaturn Vol. 28	0
Flash SegaSaturn Vol. 29	0
Flash SegaSaturn Vol. 3	0
Flash SegaSaturn Vol. 30	0
Flash SegaSaturn Vol. 31	0
Flash SegaSaturn Vol. 32	0
Flash SegaSaturn Vol. 4	0
Flash SegaSaturn Vol. 5	0
Flash SegaSaturn Vol. 6	0
Flash SegaSaturn Vol. 7	0
Flash SegaSaturn Vol. 8	0
Flash SegaSaturn Vol. 9	0
Formula Grand Prix - Team Un'ei Simulation	0
Formula Karts - Special Edition	2
Frankenstein - Through the Eyes of the Monster	0
Frank Thomas Big Hurt Baseball	0
Free Talk Studio - Mari no Kimamana Oshaberi	0
Friends - Seishun no Kagayaki	0
From TV Animation Slam Dunk - I Love Basketball	3
Fully Cowled Mini Yonku - Super Factory	0
Funky Fantasy	0
Funky Head Boxers	0
Funky Head Boxers Plus	0
Fushigi no Kuni no Angelique	0
Fuusui Sensei - Feng-Shui Master	0
Gaia Breeder	0
Gakkou no Kaidan	0
Gakkou no Kowai Uwasa - Hanako-san ga Kita!!	0
Galactic Attack	1
Galaxy Fight	1
Galaxy Fight - Universal Warriors	0
Gale Racer	1
Gal Jan	4
Gals Panic SS	4
Game Basic for SegaSaturn	0
Game de Seishun	0
Game Nihonshi - Kakumeiji Oda Nobunaga	0
Game no Tatsujin	0
Game no Tatsujin 2	0
Game no Tetsujin - The Shanghai	0
Game of Life, The - DX Jinsei Game	0
Game of Life, The - DX Jinsei Game II	0
Game Tengoku - The Game Paradise!	3
Game-Ware	0
Game-Ware Vol. 2	0
Game-Ware Vol. 3	0
Game-Ware Vol. 4	0
Game-Ware Vol. 5	0
Garou Densetsu 3 - Road to the Final Victory	0
Gebockers	0
GeGeGe no Kitarou - Gentou Kaikitan	3
Gekiretsu Pachinkers	4
Gekirindan	4
Gekitotsu Koushien	0
Gekka Mugentan Torico	4
Gekka no Kishi - Ouryuu-sen	0
Gensou Suikoden	0
Gex	3
Ghen War	0
Ginga Eiyuu Densetsu	0
Ginga Eiyuu Densetsu Plus	0
Ginga Ojousama Densetsu Yuna 3 - Lightning Angel	1
Ginga Ojousama Densetsu Yuna - Mika Akitaka Illust Works	0
Ginga Ojousama Densetsu Yuna - Mika Akitaka Illust Works 2	0
Ginga Ojousama Densetsu Yuna Remix	0
Girl Doll Toy - Tamashii o Kudasai	0
Girls in Motion Puzzle Vol. 1 - Hiyake no Omoide + Himekuri	3
Girls in Motion Puzzle Vol. 2 - Body Special 264	5
Godzilla - Rettou Shinkan	0
Go III Professional - Taikyoku Igo	0
Goiken Muyou - Anarchy in the Nippon	3
Gokujou Parodius Da! Deluxe Pack	3
Golden Axe - The Duel	3
Gotha II - Tenkuu no Kishi	0
Gotha II - Tenkuu no Kishi + Teitoku no Ketsudan II	0
Gotha - Ismailia SenEki	3
Gouketsuji Ichizoku 3 - Groove on Fight	2
Gradius Deluxe Pack	4
Gran Chaser	0
Grandia	1
Grandia - Digital Museum	2
Grandia - Prelude	0
GranDread	0
Grand Slam	0
Greatest Nine '96	4
Gremlin Demo Disc	0
Gremlin Demo Disk	0
Grid Run	0
Grid Runner	0
GT24	0
Guardian Force	4
Guardian Heroes	5
Gunbird	3
GunBlaze-S	1
Gungriffon	0
Gun Griffon	0
Gungriffon II	0
Gungriffon - The Eurasian Conflict	4
Gussun Oyoyo S	4
G Vector	0
Gyuwambler Jiko Chuushinha - Tokyo Mahjongland	0
Habitat II	0
Hang-On GP	3
Hang On GP '95	3
Hang On GP '96	0
Hansha de Spark!	0
Hardcore 4x4	2
Harukaze Sentai V-Force	0
Hatsukoi Monogatari	0
HatTrick Hero S	0
Haunted Casino	3
Heartbeat Scramble	0
Heart of Darkness	0
Hebereke's Popoitto	0
Heim Waltz	0
Heir of Zendor - The Legend and The Land	0
Heisei Tensai Bakabon - Susume! Bakabons	0
Heiwa Pachinko Soushingeki	2
Henry Explorers	0
Herc's Adventures	0
Hexen	0
Hexen - Beyond Heretic	0
Hideo Nomo World Series Baseball	0
Highschool Terra Story	0
High Velocity - Mountain Racing Challenge	1
Highway 2000	3
Himitsu Sentai Metamor V	0
Hi-Octane	2
Hi-Octane - The Track Fights Back!	0
Hissatsu!	0
Hissatsu Pachinko Collection	0
Hokuto no Ken	3
Honkaku 4-nin Uchi Geinoujin Taikyoku Mahjong - The Wareme de Pon	0
Honkaku Hanafuda	0
Honkaku Pro Mahjong - Tetsuman Special	0
Honkaku Shougi Shinan - Wakamatsu Shougi Juku	0
Hop Step Idol	0
Horde, The	2
Horror Tour	0
Houkago Ren'ai Club - Koi no Etude	0
Houma Hunter Lime Perfect Collection	2
House of the Dead, The	3
Hudson Soft - New Soft Line Up for Sega Saturn	0
Hyper 3-D Pinball	4
Hyper 3D Pinball	4
Hyper Duel	1
Hyper Golf, The - Devil's Course	0
Hyper Reverthion	3
Hyper Securities S	0
Ide Yousuke Meijin no Shin Jissen Mahjong	0
Idol Janshi Suchie-Pai II	1
Idol Janshi Suchie-Pai Mecha Genteiban - Hatsubai 5 Shuunen Toku Package	5
Idol Janshi Suchie-Pai Remix	3
Idol Janshi Suchie-Pai Secret Album	0
Idol Janshi Suchie-Pai Special	3
Idol Mahjong - Final Romance 2	3
Idol Mahjong - Final Romance 4	0
Idol Mahjong - Final Romance R	5
Impact Racing	1
Incredible Hulk, The - The Pantheon Saga	1
Independence Day	1
Independence Day - The Game	0
International Victory Goal	0
In the Hunt	1
Ippatsu Gyakuten - Gambling King e no Michi	0
Irem Arcade Classics	4
Iron Man & X-O Manowar in Heavy Metal	5
Iron Storm	3
Ishin no Arashi	0
Isto E Zico - Zico no Kangaeru Soccer	0
Jantei Battle Cos-Player	0
Jantei Battle Cos-Player - Original Genga-shuu	0
Japan Super Bass Classic '96	0
J. B. Harold - Blue Chicago Blues	0
Jewels of the Oracle	0
Jikkyou Oshaberi Parodius - Forever with Me	0
Jikkyou Powerful Pro Yakyuu '95 - Kaimakuban	1
Jikkyou Powerful Pro Yakyuu S	2
Jikuu Tantei DD	0
Jissen Mahjong	3
Jissen Pachinko Hisshou-hou! Twin	3
Jissen! Pachi-Slot Hisshou-hou! 3	0
Jissen! Pachi-Slot Hisshou-hou! 4	0
Jissen! Pachi-Slot Hisshou-hou! Iron Hook - The Great Marine Adventures	0
J.League Go Go Goal!	3
J.League Jikkyou Honoo no Striker	0
J.League Pro Soccer Club o Tsukurou!	3
J.League Pro Soccer Club o Tsukurou! 2	3
J.League Victory Goal '96	1
J.League Victory Goal '97	3
Johnny Bazooka	0
Johnny Bazookatone	0
Jonah Lomu Rugby	0
Joshikousei no Houkago... Pukunpa	0
Junclassic C.C. & Rope Club	0
Jungle Park - Saturn Shima	0
Jung Rhythm	0
K-1 Grand Prix - Fighting Illusion Shou	2
Kaitei Daisensou	0
Kaitou Saint Tail	0
Kakinoki Shougi	0
Kakyuusei	3
Kamen Rider - Sakusen File 1	0
Kanazawa Shougi	0
Kanzen Chuukei Pro Yakyuu Greatest Nine	0
Keio Flying Squadron 2	5
Keiou Yuugekitai - Katsugeki-hen	3
Kekkon - Marriage	0
Kekkon - Marriage - Zen'ya	0
Keriotosse!	4
Kidou Senkan Nadesico - The Blank of 3 Years	2
Kidou Senkan Nadesico - Yappari Saigo wa Ai ga Katsu	2
Kidou Senshi Gundam - Gihren no Yabou	3
Kidou Senshi Gundam - Gihren no Yabou - Kouryaku Shireisho	5
Kidou Senshi Z Gundam - Kouhen Uchuu o Kakeru	1
Kidou Senshi Z Gundam - Zenpen Zeta no Kodou	3
Kindaichi Shounen no Jikenbo - Hoshimitou Kanashimi no Fukushuuki	0
King of Boxing, The	0
King of Fighters '95, The	3
King of Fighters '96, The	3
King of Fighters '97, The	5
Kiss yori...	0
Kisuishou Densetsu Astal	3
Kochira Katsushikaku Kameari Kouenmae - Hashutsujo - Nakagawa Land Dai-Race! no Maki	0
Koden Koureijutsu - Hyaku Monogatari - Honto ni Atta Kowai Hanashi	3
Koi no Summer Fantasy - in Miyazaki Seagaia	0
Konami Antiques - MSX Collection Ultra Pack	4
Koudou Saisoku Densetsu - Initial D	3
Kouryuu Sangoku Engi	0
Koutetsu Reiiki - Steeldom	3
Krazy Ivan	0
Kumitate Battle Kuttu Ketto	0
Kunoichi Torimonochou	0
Kuro no Danshou - The Literary Fragment	2
Kurubushi Kyoudai Gekijou Dai-ikkan - Mahjong-hen	0
Kururin Pa!	3
Kuusou Kagaku Sekai Gulliver Boy	3
Kyuukyoku Tiger II Plus	0
Kyuutenkai	3
Langrisser - Dramatic Edition	3
