armora	lr-mame	5
armorcar	lr-fbneo	5
armwar	lr-fbneo	5
armwrest	lr-fbneo	5
ashura	lr-fbneo	5
aso	lr-fbneo	5
assault	lr-fbneo	5
astdelux	lr-mame	5
asterix	lr-fbneo	5
asteroid	lr-mame	5
astorm	lr-fbneo	5
astrass	advmame	4
astrob	lr-mame	5
astrof	lr-mame	5
astropal	lr-mame	5
astrowar	lr-mame	5
astyanax	lr-fbneo	5
asuka	lr-fbneo	5
asurabld	lr-fbneo	5
asurabus	lr-fbneo	5
asylum	lr-mame	5
atarifb	lr-mame	5
ataxx	lr-mame	5
atehate	lr-fbneo	5
atetris	lr-fbneo	5
athena	lr-fbneo	5
atlantis	lr-fbneo	5
atomicp	lr-fbneo	5
attckufo	lr-mame	5
aurail	lr-fbneo	5
avalnche	lr-mame	5
avengers	lr-fbneo	5
avengrgs	lr-fbneo	5
avsp	lr-fbneo	5
avspirit	lr-fbneo	5
aztarac	lr-mame	5
azurian	lr-fbneo	5
b2b	lr-fbneo	5
bace	lr-fbneo	5
backfire	lr-fbneo	5
backfirt	lr-fbneo	5
badapple	lr-fbneo	5
baddudes	lr-fbneo	5
badlands	lr-fbneo	5
bagman	lr-fbneo	5
bakatono	lr-fbneo	5
bakubaku	advmame	5
bakutotu	lr-fbneo	5
balcube	lr-fbneo	5
ballbomb	lr-mame	5
ballbros	lr-fbneo	5
balonfgt	lr-mame	5
baluba	lr-fbneo	5
banbam	lr-fbneo	5
bang	lr-mame	5
bangball	lr-fbneo	5
bangbead	lr-fbneo	5
bankp	lr-fbneo	5
barbball	lr-mame	5
barricad	lr-mame	5
barrier	lr-mame	5
baryon	lr-fbneo	5
basebal2	lr-mame	5
batcir	lr-fbneo	5
batman	lr-fbneo	5
batrider	lr-fbneo	5
batsugun	lr-fbneo	5
battlane	lr-fbneo	5
battlcry	lr-mame	5
battlera	lr-mame2016	5
battlex	lr-fbneo	5
battlnts	lr-fbneo	5
battroad	lr-fbneo	5
bayroute	lr-fbneo	5
bbakraid	lr-fbneo	5
bballs	lr-fbneo	5
bbmanw	lr-fbneo	5
bbonk	lr-mame	5
bbusters	lr-mame	5
bchopper	lr-fbneo	5
bcruzm12	lr-fbneo	5
bcstry	lr-fbneo	5
beaminv	lr-mame	4
beastrzr	lr-mame2016	5
beathead	lr-mame	5
beezer	lr-mame	5
benberob	lr-mame	5
berabohm	lr-fbneo	5
berenstn	lr-mame	5
berlwall	lr-fbneo	5
bermudat	lr-fbneo	5
berzerk	lr-fbneo	5
bestbest	lr-fbneo	5
bestri	lr-fbneo	5
bgaregga	lr-fbneo	5
bigbucks	lr-fbneo	5
bigevglf	lr-mame	5
bigfight	lr-mame	5
bigkarnk	lr-fbneo	5
bigprowr	lr-fbneo	5
bigrun	lr-mame	4
bigstrik	lr-fbneo	5
bigtwin	lr-fbneo	5
bijokkog	lr-mame	5
bijokkoy	lr-mame	5
bikkuri	lr-mame	5
bikkuric	lr-mame	5
bilyard	lr-mame	5
bioatack	lr-fbneo	5
biomtoy	lr-fbneo	5
bionicc	lr-fbneo	5
bioship	lr-fbneo	5
birdiy	lr-fbneo	5
birdtry	lr-fbneo	5
bishi	lr-fbneo	5
bjourney	lr-fbneo	5
bjtwin	lr-fbneo	5
bking	lr-mame	5
bking2	lr-mame	5
bking3	lr-mame	5
bkrtmaq	lr-fbneo	5
black	lr-mame	5
blackt96	lr-fbneo	5
bladestl	lr-fbneo	5
blandia	lr-fbneo	5
blasted	lr-mame	5
blaster	lr-fbneo	5
blasto	lr-fbneo	5
blastoff	lr-fbneo	5
blazeon	lr-fbneo	5
blazer	lr-fbneo	5
blazlaz	lr-mame	5
blazstar	lr-fbneo	5
bldyror2	lr-mame2016	3
blkheart	lr-fbneo	5
blkhole	lr-fbneo	5
blkpnthr	lr-fbneo	5
blktiger	lr-fbneo	5
blktouch	lr-mame	5
blmbycar	lr-fbneo	5
block	lr-fbneo	5
blockade	lr-fbneo	5
blockcar	lr-fbneo	5
blocken	lr-fbneo	5
blockgal	lr-fbneo	5
blockhl	lr-fbneo	5
blockout	lr-fbneo	5
bloodbro	lr-fbneo	5
bloodstm	lr-fbneo	5
bloodwar	lr-fbneo	5
bloxeed	lr-fbneo	5
blstroid	lr-fbneo	5
blswhstl	lr-fbneo	5
bluehawk	lr-fbneo	5
blueprnt	lr-fbneo	5
blueshrk	lr-mame	5
blzntrnd	lr-fbneo	5
bmaster	lr-fbneo	5
bmcbowl	lr-mame	5
bnstars1	lr-mame	5
bnzabros	lr-fbneo	5
bodyslam	lr-fbneo	5
bogeyman	lr-fbneo	5
boggy84	lr-fbneo	5
bombbee	lr-fbneo	5
bombjack	lr-fbneo	5
bombkick	lr-fbneo	5
bombsa	lr-mame	5
bongo	lr-fbneo	5
bonkadv	lr-fbneo	5
bonzeadv	lr-fbneo	5
boogwing	lr-fbneo	5
boomrang	lr-fbneo	5
boonggab	lr-fbneo	5
boothill	lr-mame	5
borench	lr-mame2016	5
borntofi	lr-mame	5
bosco	lr-mame	5
botanic	lr-fbneo	5
bottom9	lr-fbneo	5
bouldash	lr-fbneo	5
bounty	lr-fbneo	5
bowl3d	lr-mame	5
bowler	lr-mame	5
bowlrama	lr-mame	5
boxer	lr-mame	5
boxingb	lr-mame	4
