Acid Tetris	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Acid Tetris (1998).TXT
Ack! Man	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Ack! Man (1989).TXT
Acquire	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Acquire (1988).txt
Across the Rhine	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Across the Rhine (1995).pdf
Acrostix	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Acrostix (1993).TXT
Action Euro Soccer 96	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Action Euro Soccer 96 (1995).pdf
Action Fighter	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Action Fighter (1989).pdf
Action Soccer	en	https://www.gamesdatabase.org/Media/SYSTEM/Microsoft_DOS/Manual/formated/Action_Soccer.pdf
Action Stations!	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Action Stations! (1990).pdf
Action SuperCross	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Action SuperCross (1997).TXT
Actua Soccer	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Actua Soccer (1995).pdf
Add It!	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Add It! (1992).txt
Advance to Boardwalk	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Advance to Boardwalk (1990).pdf
Advanced Civilization	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Advanced Civilization (1995).pdf
Advanced Destroyer Simulator	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Advanced Destroyer Simulator (1990).pdf
Advanced Destroyer Simulator	fr	https://archive.org/download/ADS_Advanced_Destroyer_Simulator_1991_Futura_FR/ADS_Advanced_Destroyer_Simulator_1991_Futura_FR.pdf
Advanced DOS Quiz	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Advanced DOS Quiz (1991).doc
Advanced NetWars	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Advanced NetWars (1997).txt
Advantage Tennis	en-gb,de,fr,it	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Advantage Tennis (1991).pdf
Adventure	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Adventure (1987).TXT
Adventure Book	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Adventure Book (2001).TXT
Adventure Construction Set	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Adventure Construction Set (1987).pdf
Adventure Game Toolkit	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Adventure Game Toolkit (1988).txt
Adventure in Serenia	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Adventure in Serenia (1982).pdf
Adventure in the Magic Land	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Adventure in the Magic Land (1989).TXT
Adventure Math	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Adventure Math (1992).TXT
Adventures of Buckaroo Banzai Across the Eighth Dimension, The	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Adventures of Buckaroo Banzai Across the Eighth Dimension, The (1984).pdf
Adventures of Captain Comic, The	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Adventures of Captain Comic, The (1988).txt
Adventures Of Dianalee, The - In The Lost temple Of The Aztecs	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Adventures Of Dianalee, The - In The Lost temple Of The Aztecs (1994).TXT
Adventures of Down Under Dan, The	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Adventures of Down Under Dan, The (1995).pdf
Adventures of Maddog Williams, The	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Adventures of Maddog Williams, The (1992).pdf
Adventures of Melvin Freebush, The	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Adventures of Melvin Freebush, The (1993).TXT
Adventures of Robin Hood, The	en-gb,de,es,fr,it	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Adventures of Robin Hood, The (1992).pdf
Adventures of Sherlock Holmes, The	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Adventures of Sherlock Holmes, The (1990).txt
Adventures of Tintin, The - Prisoners of the Sun	es	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Adventures of Tintin, The - Prisoners of the Sun (1997).pdf
Adventures of Willy Beamish, The	en	https://archive.org/download/AdventuresOfWillyBeamishManual/Adventures_of_Willy_Beamish_Manual.pdf
Aeromathics	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Aeromathics (1986).TXT
Aethra Chronicles, The - Volume One - Celystra's Bane	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Aethra Chronicles, The - Volume One - Celystra's Bane (1994).TXT
Affaire Morlov, L'	en-gb,fr	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Affaire Morlov, L' (1995).pdf
Affaire, L'	en-gb,de,es,fr,it,nl	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Affaire, L' (1986).pdf
Afghanistan	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Afghanistan (1983).txt
African Adventure Or In Search of Dr. Livingston	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/African Adventure Or In Search of Dr. Livingston (1997).TXT
African Desert Campaign	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/African Desert Campaign (1986).TXT
African Raiders-01	fr	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/African Raiders-01 (1989).pdf
African Trail Simulator	es	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/African Trail Simulator (1990).jpg
After Burner	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/After Burner (1989).pdf
After the War	en-gb,de,fr	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/After the War (1989).pdf
Afterlife	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Afterlife (1996).pdf
Aftershock for Quake	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Aftershock for Quake (1996).TXT
Agent USA	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Agent USA (1984).pdf
Air Bucks	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Air Bucks (1992).pdf
Air Duel 80 Years of Dogfighting	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Air Duel 80 Years of Dogfighting (1993).pdf
Air Power Battle in the Skies	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Air Power Battle in the Skies (1995).pdf
Air Traffic Controller	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Air Traffic Controller (1985).pdf
Air Troubles	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Air Troubles (1995).DOC	format=txt
Air Warrior	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Air Warrior (1992).txt
