007 - A View to a Kill	en-gb,nl	https://archive.org/download/Commodore64Manuals/ViewToAKillAeurope.pdf
Kids on Keys	en	https://archive.org/download/SpinnakerKidsOnKeys/Spinnaker_Kids_On_Keys.pdf
Kikstart	en	https://archive.org/download/kikstart_manual/kikstart_manual.jpg
Kikstart II	en	https://archive.org/download/Kikstart_II_The_Construction_Set_1987_Mastertronic/Kikstart_II_The_Construction_Set_1987_Mastertronic.pdf
Killed Until Dead	en	http://www.digitpress.com/library/manuals/c64/killed_until_dead.txt
Killing Machine	en	https://archive.org/download/Commodore64Manuals/KillingMachineeurope.pdf
Kindercomp	en	https://archive.org/download/KindercompSpinnaker/Kindercomp_Spinnaker_jp2.zip
Klax	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Klax (Europe).pdf
Knight Games	en	https://archive.org/download/Commodore64Manuals/KnightGameseuropedisk1SideA.pdf
Knight Games 2 - Space Trilogy	en	https://archive.org/download/Commodore64Manuals/KnightGames2-SpaceTrilogy1987englishSoftware.pdf	pages=2-2,rotate=270
Knight-Tyme	en	http://www.digitpress.com/library/manuals/c64/KnightTyme.txt
Knightmare	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Knightmare (Europe).pdf
Knuckle Buster	es	https://www.gamesdatabase.org/Media/SYSTEM/Sinclair_ZX_Spectrum/Manual/formated/Knuckle_Busters_-_1987_-_Melbourne_House.pdf
Kokotoni Wilf	en	https://www.gamesdatabase.org/Media/SYSTEM/Sinclair_ZX_Spectrum/Manual/formated/Kokotoni_Wilf_-_1984_-_Elite_Systems_Ltd..htm
Koronis Rift	en	https://archive.org/download/KoronisRiftEpyx/Koronis_Rift_Epyx.pdf
Kung-Fu Master	en	https://archive.org/download/stx_Data_East_Kung-Fu_Master_Instruction_Manual/Data_East_Kung-Fu_Master_Instruction_Manual.pdf
Kwik Snax	en	https://project64.c64.org/Games/KwikSnax.txt
Labyrinth	en	http://www.digitpress.com/library/manuals/c64/lacrackdown.txt
Laser Zone	en	https://archive.org/download/Laser_Zone_1983_Llamasoft/Laser_Zone_1983_Llamasoft.pdf
Last Duel	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Last Duel (Europe) (Disk 1).pdf
Last Mission	en	http://www.digitpress.com/library/manuals/c64/lastmission.txt
Last Ninja II - Back with a Vengeance	en-gb,de,fr	https://archive.org/download/c64man_last-ninja-2/c64man_last-ninja-2_images.zip
Last Ninja III, The - Real Hatred Is Timeless	en	http://www.digitpress.com/library/manuals/c64/last_ninja_3.txt
Last Ninja Remix	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Last Ninja 2 Remix (Europe) (Disk 2).pdf
Last Ninja, The	en	https://archive.org/download/Commodore64Manuals/LastNinjaTheeuropedisk1SideA.pdf
Law of the West	en	https://archive.org/download/Commodore64Manuals/LawOfTheWestusa.pdf
Lazarian	en	https://archive.org/download/Commodore64Manuals/Lazarianusa.pdf
Leaderboard	en	https://archive.org/download/Commodore64Manuals/LeaderboardGolfusa.pdf
Leaderboard Executive Edition	en	http://www.digitpress.com/library/manuals/c64/leaderboard_exec.txt
League Challenge	en-gb,de,fr,it	https://www.gamesdatabase.org/Media/SYSTEM/Amstrad_CPC/Manual/formated/League_Challenge_-_1987_-_Atlantis_Software.pdf
Learning with Leeper	en	https://archive.org/download/Commodore64Manuals/LearningWithLeeperusa.pdf
Legend of the Amazon Women, The	en	http://www.digitpress.com/library/manuals/c64/legend_amazon_women.txt
LeMans	en	https://archive.org/download/game_manual_Lemans/Lemans.pdf
Lemmings	en	https://archive.org/download/lemingc64/lemmingc64.pdf
Leviathan	en	http://www.digitpress.com/library/manuals/c64/Leviathan.txt
Lightforce	en-gb,de,fr,it	https://archive.org/download/Lightforce/Lightforce.pdf
Line of Fire	en-gb,de,fr,it	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Line of Fire - Manual-DE-ENG-FR-IT.pdf
Linking Logic	en	https://archive.org/download/LinkingLogicFisherPrice/Linking_Logic_Fisher_Price_jp2.zip
Little Computer People	en	https://archive.org/download/Little_Computer_People_1985_Richochet_budget/Little_Computer_People_1985_Richochet_budget.pdf
Little Puff in Dragonland	en-gb,de,es,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Little Puff in Dragonland (Europe).pdf
Livingstone, I Presume	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Livingstone I Presume (Europe).pdf
Loco	en	https://archive.org/download/Loco_1984_Alligata_Software/Loco_1984_Alligata_Software.pdf
Lode Runner	en	https://archive.org/download/lode-runner-disk-version-broderbund/Lode_Runner_disk_version_Broderbund.pdf
Logic Levels	en	https://archive.org/download/LogicLevelsFisherPrice/Logic_Levels_Fisher_Price_jp2.zip
Lunar Leeper	en	https://archive.org/download/Commodore64Manuals/LunarLeeperusa.pdf
Lunar Outpost	en	http://www.digitpress.com/library/manuals/c64/lunar_outpost.pdf
Mad Mix Game - The Pepsi Challenge	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Mad Mix Game (Europe).pdf
Mag Max	en	http://www.digitpress.com/library/manuals/c64/magmax.txt
Magic Johnson's Basketball	es	https://archive.org/download/MagicJohnsonsBasketballES/Magic Johnson's Basketball (ES).pdf
Magicland Dizzy	en	http://www.digitpress.com/library/manuals/c64/MagicLandDizzy.txt
Magnetron	en	https://archive.org/download/game_manual_Magnetron_Users_Manual/Magnetron_Users_Manual.pdf
Manic Miner	en	http://www.digitpress.com/library/manuals/c64/maniac_miner.txt
Marble Madness	en	http://www.digitpress.com/library/manuals/c64/marblemadness.txt
Mario Bros	en	https://archive.org/download/AmstradCPCManuals_201812/Mario Bros (Europe).pdf
Mask	en	https://archive.org/download/mask_20190721/mask.jpg
Master Chess	en	http://www.digitpress.com/library/manuals/c64/master_chess .txt
Master of the Lamps	en	http://www.digitpress.com/library/manuals/c64/masterlamps.txt
MasterType	en	https://archive.org/download/MasterTypeScarborough/MasterType_Scarborough.pdf
Match Day II	en	https://archive.org/download/Match_Day_II_1987_Ocean_Software/Match_Day_II_1987_Ocean_Software.pdf
Math Mileage	en	https://archive.org/download/CBSSoftwareMathMileage/CBS_Software_Math_Mileage.pdf
Matrix	en	http://www.digitpress.com/library/manuals/c64/konami_collection.txt
Mayday Squad!	en	http://www.digitpress.com/library/manuals/c64/mayday.txt
Mayhem	en	http://www.digitpress.com/library/manuals/c64/Mayhem in Monsterland.txt
Mazemania	it	https://archive.org/download/mazemania/Maze Mania.pdf
Mega-Apocalypse	en	https://archive.org/download/mega_manual/mega_manual.jpg
Memory Manor	en	https://archive.org/download/MemoryManorFisherPrice/Memory_Manor_Fisher_Price.pdf
Mercenary - Escape from Targ	en	https://archive.org/download/MercenaryEscapeFromTargDatasoft/Mercenary_Escape_From_Targ_Datasoft.pdf
Mercenary - The Second City	en	https://archive.org/download/agm_Mercenary_2nd_city/Mercenary_2nd_city.pdf
Mercs	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Mercs (Europe) (Side A).pdf
Mermaid Madness	en	https://archive.org/download/AmstradCPCManuals_201812/Mermaid Madness (Europe).pdf
Metro-Cross	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Metro-Cross (Europe).pdf
Miami Vice	en-gb,de,fr	http://www.mycommodore64.com/wp-content/uploads/2013/11/Miami-Vice-Manual-EN-FR-DE.pdf
Mickey Mouse	en-gb,fr	https://archive.org/download/AmstradCPCManuals_201812/Mickey Mouse (Europe).pdf
Microprose Soccer	fr	https://archive.org/download/AtariSTManuals_201812/Microprose Soccer.pdf
Midnight Resistance	en	http://www.digitpress.com/library/manuals/c64/Midnight_Resistance.txt
Mig Alley Ace	en	https://archive.org/download/agm_Mig_Alley_Ace/Mig_Alley_Ace.pdf
Mikie	en	http://www.digitpress.com/library/manuals/c64/konami_collection.txt
Minnesota Fat's Pool Challenger	en	https://archive.org/download/Commodore64Manuals/MinnesotaFatsPoolChallengerusa.pdf
Mission Elevator	en-gb,da,de,es,fr,it,no	https://archive.org/download/Commodore64Manuals/MissionElevatoreurope.pdf
Mission Omega	en	https://archive.org/download/AmstradCPCManuals_201812/Mission Omega (Europe).pdf
Money Wars	ja	https://archive.org/download/Money_Wars_1982_Commodore_Jp/Money_Wars_1982_Commodore_Jp.pdf
Monty on the Run	en-gb,de	https://archive.org/download/AmstradCPCManuals_201812/Monty on the Run (Europe).pdf
Monty Python's Flying Circus	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Monty Python's Flying Circus (Europe).pdf
Moon Buggy	en	https://archive.org/download/Moon_Buggy_1983_Anirog_Software/Moon_Buggy_1983_Anirog_Software.pdf
Moon Patrol	en	https://archive.org/download/Commodore64Manuals/MoonPatrolatarisoftusa.pdf
Moondust	en	https://archive.org/download/Moon_Dust_1983_Creative_Software/Moon_Dust_1983_Creative_Software.pdf
Moonwalker	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Moonwalker (Europe).pdf
Morpheus	en	https://archive.org/download/c64man_morpheus/c64man_morpheus_images.zip
Mountain King	en	https://archive.org/download/Commodore64Manuals/MountainKingusa.pdf
Movie Monster Game, The	en	https://archive.org/download/Commodore64Manuals/MovieMonsterGameTheusa.pdf
Movie Musical Madness Starring the Jazz Scats	en	https://archive.org/download/Commodore64Manuals/MovieMusicalMadnessusa.pdf
Mr. Cool	en	https://archive.org/download/Commodore64Manuals/Mr.Coolusa.pdf
Mr. Freeze	en	http://www.digitpress.com/library/manuals/c64/MrFreeze.txt
Mr. TNT	en	https://archive.org/download/Commodore64Manuals/Mr.Tntusa.pdf
Ms. Pac-Man	en	https://archive.org/download/Ms._Pac-Man_1984_Atari_a/Ms._Pac-Man_1984_Atari_a.pdf
Muncher, The	en	http://www.digitpress.com/library/manuals/c64/muncher.txt
Murder	en-gb,de,fr,it	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Murder - Manual-DE-ENG-FR.pdf
Music Composer	en	https://archive.org/download/Music_Composer_1982_Commodore/Music_Composer_1982_Commodore.pdf
Music Machine	en	https://archive.org/download/Music_Machine_1982_Commodore/Music_Machine_1982_Commodore.pdf
Mutants	en	https://project64.c64.org/Games/MUTANT10.TXT
Mystery of the Nile, The	en	https://archive.org/download/Mystery_of_the_Nile_The_1987_Firebird_Software/Mystery_of_the_Nile_The_1987_Firebird_Software.pdf
Myth	en	https://archive.org/download/Commodore64Manuals/Myth-HistoryInTheMakingeuropedisk1.pdf
Myth	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Myth - History in the Making (Europe).pdf
NARC	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Narc (Europe).pdf
Narco Police	es	https://archive.org/download/NarcoPoliceES/Narco Police (ES).pdf
Navy Moves	en	http://www.digitpress.com/library/manuals/c64/Navy_Moves.txt
Navy Moves	es	https://archive.org/download/NavyMovesES/Navy Moves (ES).pdf
Navy SEALs	en	https://archive.org/download/Commodore64Manuals/NavySealseurope.pdf
Nebulus	en	https://archive.org/download/zx-nebulus-manual/ZX nebulus_manual.pdf
Nemesis	en	http://www.digitpress.com/library/manuals/c64/konami_collection.txt
Nemesis the Warlock	en	https://archive.org/download/AmstradCPCManuals_201812/Nemesis the Warlock (Europe).pdf
New York City	en	http://www.digitpress.com/library/manuals/c64/nyc.txt
NewZealand Story	en	http://www.digitpress.com/library/manuals/c64/NewZealandStory.txt
Night Shift	en	http://www.digitpress.com/library/manuals/c64/nightshift.txt
Ninja Rabbits	en-gb,de,es,fr,it,nl	https://archive.org/download/Commodore64Manuals/NinjaRabbitseurope.pdf
Ninja Remix	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Last Ninja 2 Remix (Europe) (Disk 2).pdf
Ninja Spirit	en-gb,de,fr,it	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Ninja Spirit - Manual-DE-ENG-FR-IT.pdf
Ninja Warriors, The	en-gb,de,it	https://archive.org/download/AmstradCPCManuals_201812/Ninja Warriors (Europe).pdf
Nodes of Yesod	en	http://www.digitpress.com/library/manuals/c64/nodes_yesod.txt
North & South	en-gb,de,fr	https://thecompany.pl/manual/98_north_and_south-manual.pdf
Nosferatu the Vampyre	en	https://archive.org/download/AmstradCPCManuals_201812/Nosferatu the Vampyre (Europe).pdf
Nova Blast	en	https://archive.org/download/Commodore64Manuals/NovaBlastusa.pdf
Nuclear Embargo	de	https://archive.org/download/Commodore64Manuals/NuclearEmbargoeurope.pdf
Number Nabber, Shape Grabber	en	https://archive.org/download/Commodore64Manuals/NumberNabberShapeGrabberusa.pdf
Number Tumblers	en	https://archive.org/download/Commodore64Manuals/NumberTumblerusa.pdf
Octapolis	en	https://project64.c64.org/Games/octapo10.txt
Official Father Christmas Game, The	en	http://www.digitpress.com/library/manuals/c64/OfficialFatherChristmas.txt
Oil's Well	en	https://archive.org/download/Commodore64Manuals/OilsWellusa.pdf
Olli & Lissa - The Ghost of Shilmoore Castle	en	https://archive.org/download/Commodore64Manuals/OlliLissa-TheGhostOfShilmooreCastleeurope.pdf
Ollie's Follies	en	https://archive.org/download/Ollies_Follies_1986_Americana_Software_budget/Ollies_Follies_1986_Americana_Software_budget.pdf	rotate=90
Omega Race	en	https://archive.org/download/Commodore64Manuals/OmegaRaceusa.pdf
Omega Race	ja	https://archive.org/download/Omega_Race_1982_Commodore_Jp/Omega_Race_1982_Commodore_Jp.pdf
On Cue	en	http://files.replacementdocs.com/On_Cue_-_Manual_-_C64.pdf
On Field Football	en	https://archive.org/download/Commodore64Manuals/OnFieldFootballusa.pdf
One on One	en	https://archive.org/download/c64man_one-on-one/c64man_one-on-one_images.zip
Operation Hormuz	en	http://www.digitpress.com/library/manuals/c64/op_hormuz.txt
Operation Thunderbolt	en	http://www.digitpress.com/library/manuals/c64/op_thunderbolt.txt
Operation Wolf	en	http://www.digitpress.com/library/manuals/c64/op_wolf.txt
Orbitron	en	http://www.digitpress.com/library/manuals/c64/Orbitron.txt
Out Run	en	https://archive.org/download/AtariSTManuals_201812/Out Run.pdf
Outback	en	http://files.replacementdocs.com/Outback_-_Manual_-_C64.pdf
Pac-Man	en	https://archive.org/download/Commodore64Manuals/Pac-manusa.pdf
Pacmania	en	https://archive.org/download/pacmania_manual/pacmania_manual.jpg
Paint Brush	en	https://archive.org/download/Paintbrush_1983_HES/Paintbrush_1983_HES.pdf
Pandora	fr	https://archive.org/download/AtariSTManuals_201812/Pandora.pdf
Pang	en	https://archive.org/download/Commodore64Manuals/Pangeurope.pdf
Panic Dizzy	en	http://www.digitpress.com/library/manuals/c64/PanicDizzy.txt
Panther	en	http://www.digitpress.com/library/manuals/c64/Panther.txt
Paperboy	en-gb,de,fr,it	https://archive.org/download/Paperboy_1986_Encore_budget/Paperboy_1986_Encore_budget.pdf
Paradroid - Competition Edition	en	https://archive.org/download/Uridium_Paradroid_Double_Value_Pack_1987_Hewson_compilation/Uridium_Paradroid_Double_Value_Pack_1987_Hewson_compilation.pdf	pages=2-2,rotate=90
Parallax	en	https://archive.org/download/Parallax_1986_Ocean/Parallax_1986_Ocean.pdf
Paratroopers	en	http://www.digitpress.com/library/manuals/c64/Paratroopers.txt
Park Patrol	en	https://archive.org/download/Park_Patrol_1984_Firebird_budget/Park_Patrol_1984_Firebird_budget.pdf
Passing Shot	en-gb,de,fr,it	https://archive.org/download/PassingShot/Passing Shot.pdf
Pastfinder	en-gb	https://archive.org/download/pastfinder_manual/pastfinder_manual.pdf
Peanut Butter Panic	en	https://archive.org/download/PeanutButterPanicCBSSoftware/Peanut_Butter_Panic_CBS_Software.pdf
Pinball Spectacular	en	https://archive.org/download/Commodore64Manuals/PinballSpectacularusa.pdf
Pinball Wizard	en	https://archive.org/download/Pinball_Wizard_1984_Sagittarian_Software/Pinball_Wizard_1984_Sagittarian_Software.pdf
Ping Pong	en	https://archive.org/download/Ping_Pong_1986_Imagine_Software/Ping_Pong_1986_Imagine_Software.pdf
Pirates!	en	https://archive.org/download/Pirates_1987_Microprose_Software/Pirates_1987_Microprose_Software.pdf
Pit, The	en	https://archive.org/download/Commodore64Manuals/PitTheusa.pdf
Pitfall II - Lost Caverns	en	https://archive.org/download/pitfall-ii-activision/Pitfall_II_Activision.pdf
Pitfall!	en	https://archive.org/download/Commodore64Manuals/Pitfall-PitfallHarrysJungleAdventureusa.pdf
Pitfall! - Pitfall Harry's Jungle Adventure	en	https://archive.org/download/Commodore64Manuals/Pitfall-PitfallHarrysJungleAdventureusa.pdf
Pitstop	en	https://archive.org/download/agm_Pitstop_Instruction_Manual/Pitstop_Instruction_Manual.pdf
Pitstop II	en	http://www.digitpress.com/library/manuals/c64/pitstop2.pdf
Platoon	en	https://archive.org/download/game_manual_Platoon_Instruction_Manual/Platoon_Instruction_Manual.pdf
Pole Position	en	https://archive.org/download/PolePositionDatasoft/Pole_Position_Datasoft.pdf
Pooyan	en	https://archive.org/download/pooyandatasoft/Pooyan_Datasoft.pdf
Popeye	en	https://archive.org/download/popeyeparkerbrothers/Popeye_Parker_Brothers.pdf
Popeye 2	en	https://archive.org/download/Popeye_II_1991_Alternative_Software/Popeye_II_1991_Alternative_Software.pdf
Poster Paster	en	http://www.digitpress.com/library/manuals/c64/poster_paster.txt
Potsworth	en-gb,de,es,fr,it	https://archive.org/download/Potsworth_manual/Potsworth_manual.pdf
Power Drift	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Power Drift (Europe).pdf
Power, The	en	https://archive.org/download/Commodore64Manuals/Powerusa.pdf
Predator	en-gb,de,fr	https://archive.org/download/Commodore64Manuals/Predatorusa.pdf
President Is Missing, The	en	https://archive.org/download/c64man_president-is-missing/c64man_president-is-missing_images.zip
Price Of Magik	en	https://archive.org/download/ThePriceOfMagik/The Price of Magik.pdf
Prisot Riot	en	https://www.gamesdatabase.org/Media/SYSTEM/Sinclair_ZX_Spectrum/Manual/formated/Prison_Riot_-_1990_-_Players_Software.htm
Pro Tennis Tour	fr	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Pro Tennis Tour - Manual-FR.pdf
Prodigy, The	en	http://www.digitpress.com/library/manuals/c64/prodigy.txt
Prohibition	en	http://www.digitpress.com/library/manuals/c64/Prohibition.txt
Project Stealth Fighter	en	https://archive.org/download/Project_Stealth_Fighter_1987_Microprose_Software/Project_Stealth_Fighter_1987_Microprose_Software.pdf
PSI-5 Trading Company	en	https://archive.org/download/psi-5-trading-company-manual-c-64/PSI-5 Trading Company Manual C64.pdf
Psycho Pigs UXB	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Psycho Pig U.X.B. (Europe).pdf
Psytron	en	https://archive.org/download/c64man_psytron/c64man_psytron_images.zip
Pub Games	en	https://archive.org/download/Commodore64Manuals/PubGameseuropesideA.pdf	rotate=270
Purple Turtles	en	https://archive.org/download/purpturt_manual/purpturt_manual.jpg
Puzznic	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Puzznic (Europe).pdf
Q-bert	en	https://archive.org/download/Commodore64Manuals/Q-bertusa.pdf
Quartet	es	https://www.gamesdatabase.org/Media/SYSTEM/Sinclair_ZX_Spectrum/Manual/formated/Quartet_-_1987_-_Activision.pdf
Quedex	en	http://www.digitpress.com/library/manuals/c64/quedex.txt
Question of Sport, A	en	https://archive.org/download/AmstradCPCManuals_201812/Question of Sport, A (Europe).pdf
Quintic Warrior	en	https://archive.org/download/quintic_manual/quintic_manual.jpg
R-Type	en-gb,de,fr,it	https://archive.org/download/Commodore64Manuals/R-typeusadisk1SideA.pdf
Rack 'em Up!	en	https://archive.org/download/Commodore64Manuals/RackemUpusa.pdf
Radar Rat Race	en	https://archive.org/download/Radar_Rat_Race_1982_Commodore/Radar_Rat_Race_1982_Commodore.pdf
Radar Rat Race	ja	https://archive.org/download/Radar_Rat_Race_1982_Commodore_Jp/Radar_Rat_Race_1982_Commodore_Jp.pdf
Raging Beast	en	https://archive.org/download/Raging_Beast_1985_Firebird_Software/Raging_Beast_1985_Firebird_Software.pdf
Raid on Bungeling Bay	en	http://www.digitpress.com/library/manuals/c64/raidbungelingbay.txt
Raid over Moscow	en	http://www.digitpress.com/library/manuals/c64/raid_over_moscow.txt
Rainbow Dragon	en-gb,da,de,nl	https://archive.org/download/rainbow-dragon/Rainbow Dragon.pdf
Rambo	en	https://archive.org/download/Commodore64Manuals/Rambo-FirstBloodPartIieurope.pdf
Rampage	en	https://archive.org/download/Commodore64Manuals/Rampageusa.pdf
Rampage	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Rampage (Europe).pdf
Ramparts	es	https://www.gamesdatabase.org/Media/SYSTEM/Sinclair_ZX_Spectrum/Manual/formated/Ramparts_-_1988_-_GO!.pdf
Ranarama	en-gb,de	https://archive.org/download/zx-ranarama-manual/ZX ranarama_manual.pdf
Ranch	en	https://archive.org/download/Commodore64Manuals/Ranchusa.pdf
Rasputin	en	http://www.digitpress.com/library/manuals/c64/Rasputin.txt
Rastan	en	https://archive.org/download/game_manual_Rastan/Rastan.pdf
Real Ghostbusters, The	en-gb,fr,it	https://archive.org/download/Real_Ghostbusters_The_1989_Activision/Real_Ghostbusters_The_1989_Activision.pdf
Reckless Rufus	en	http://www.digitpress.com/library/manuals/c64/recklessrufus.txt
Red Heat	en	http://www.digitpress.com/library/manuals/c64/red_heat.txt
Red Max	en	https://archive.org/download/Red_Max_1987_Codemasters/Red_Max_1987_Codemasters.pdf
Red Moon	en	https://archive.org/download/RedMoonManual/Red Moon.pdf
Renaissance	en	https://archive.org/download/renaissance-c64/Renaissance-C64.pdf
Rescue on Fractalus!	en	https://archive.org/download/rescue-on-fractalus/Image091617214630.facing.pdf
Return to Eden	en	https://archive.org/download/ReturnToEden/Return to Eden.pdf
Revenge of the Mutant Camels	en	https://archive.org/download/revcamels_manual/revcamels_manual.jpg
Rick Dangerous	en	https://archive.org/download/Commodore64Manuals/RickDangerouseurope.pdf
Rick Dangerous	en-gb,de,it	https://archive.org/download/rick-dangerous-en-de-it/Rick Dangerous en-de-it.pdf
Rick Dangerous II	en	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Rick Dangerous 2 - Manual-ENG.pdf
Ricochet	en	https://archive.org/download/Ricochet_1988_Firebird_Software/Ricochet_1988_Firebird_Software.pdf
Risk	en	http://www.digitpress.com/library/manuals/c64/risk.pdf
River Raid	en	https://archive.org/download/Commodore64Manuals/RiverRaidusa.pdf
Road Blasters	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Road Blasters (Europe) (Disk 1).pdf
Road Runner	en	http://www.digitpress.com/library/manuals/c64/roadrunner.txt
Roadwars	en	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Roadwars - Manual-ENG.pdf
Robin Smith's International Cricket	en	https://www.gamesdatabase.org/Media/SYSTEM/Atari_ST/Manual/formated/Robin_Smith-s_International_Cricket_-_1991_-_Challenge_Software.pdf
Robocop	en-gb,de,fi,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Robocop (Europe).pdf
RoboCop 2	en	https://archive.org/download/Commodore64Manuals/RobocopIieurope.pdf
RoboCop 3	en	https://archive.org/download/Commodore64Manuals/RobocopIiieurope.pdf
Robotron - 2084	en	https://archive.org/download/Commodore64Manuals/Robotron2084usa.pdf
Robozone	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Robozone (Europe).pdf
Rock n' Bolt	en	http://www.digitpress.com/library/manuals/c64/rocknbolt.txt
Rock'n Wrestle	en	http://www.digitpress.com/library/manuals/c64/rocknwrestle.txt
Rockford	en	https://archive.org/download/AtariSTManuals_201812/Rockford.pdf
Rocky Horror Show, The	en	https://archive.org/download/Rocky_Horror_Show_The_1985_CRL/Rocky_Horror_Show_The_1985_CRL.pdf
Rollaround	en	https://archive.org/download/rollaround_manual/rollaround_manual.jpg
Rolling Thunder	es	https://www.gamesdatabase.org/Media/SYSTEM/Sinclair_ZX_Spectrum/Manual/formated/Rolling_Thunder_-_1988_-_U.S._Gold_Ltd..pdf
Rootin' Tootin'	en	https://archive.org/download/Commodore64Manuals/RootinTootinusa.pdf
Ruff and Reddy in the Space Adventure	en	http://www.digitpress.com/library/manuals/c64/ruff_ready.txt
Running Man, The	en	http://files.replacementdocs.com/The_Running_Man_-_Manual_-_C64.pdf
Rygar	en-gb,fr	https://archive.org/download/Commodore64Manuals/Rygareurope.pdf
S.W.I.V.	en-gb,de,fr,it	https://archive.org/download/SWIV_1991_Storm/SWIV_1991_Storm.pdf
S.W.I.V.	es	https://archive.org/download/S.W.I.V.ES/S.W.I.V. (ES).pdf
Saboteur	en	https://archive.org/download/Saboteur_1986_Encore_budget/Saboteur_1986_Encore_budget.pdf
Sacred Armour of Antiriad, The	en	https://archive.org/download/AmstradCPCManuals_201812/Sacred Armour of Antiriad, The (Europe).pdf
Saint & Greavsie	en	https://archive.org/download/AmstradCPCManuals_201812/Saint and Greavsie (Europe).pdf
Saint Dragon	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Saint Dragon (Europe).pdf
Salamander	en	http://www.digitpress.com/library/manuals/c64/Salamander.txt
Sammy Lightfoot	en	https://archive.org/download/Commodore64Manuals/SammyLightfootusa.pdf
Sanxion	en	https://archive.org/download/Commodore64Manuals/Sanxioneurope.pdf
Satan	en-gb,de,fr	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Satan - Manual-DE-ENG-FR.pdf
Savage	en	https://archive.org/download/Savage_1988_Firebird_Software/Savage_1988_Firebird_Software.pdf
Save New York	en	https://archive.org/download/Commodore64Manuals/SaveNewYorkusa.pdf
Scarabaeus	en	http://www.digitpress.com/library/manuals/c64/scarabaeus.txt
Scramble 64	en	http://www.digitpress.com/library/manuals/c64/scramble64.txt
Scramble Spirits	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Scramble Spirits (Europe).pdf
Scrolls of Abadon, The	en	https://archive.org/download/ScrollsofAbadon/Scrolls of Abadon.pdf
Scuba Dive	en	https://archive.org/download/Scuba_Dive_1983_Durell_Software/Scuba_Dive_1983_Durell_Software.pdf
Sea Speller	en	https://archive.org/download/game_manual_Sea_Speller/Sea_Speller.pdf
Sea Wolf	en	https://archive.org/download/Commodore64Manuals/SeaWolfusa.pdf
Seafox	en	https://archive.org/download/Commodore64Manuals/Seafoxusa.pdf
Seahorse Hide'n Seek	en	https://archive.org/download/seahorsehidenseekactivitybookcbssoftware/Sea_Horse_Hide_N_Seek_CBS_Software.pdf
Secret Diary of Adrian Mole, The	en	https://archive.org/download/AdrianMoleDiaryManual/adrianmolediarykit-manual.pdf
Sentinel	en	https://archive.org/download/Commodore64Manuals/SentinelsynapseSoftwareusa.pdf
Sentinel, The	en	https://archive.org/download/Sentinel_The_1984_Firebird_Software/Sentinel_The_1984_Firebird_Software.pdf
Sergeant Seymour Robotcop	en	http://www.digitpress.com/library/manuals/c64/Sergeant_Seymour_Robotcop.txt
Serpentine	en	https://archive.org/download/Commodore64Manuals/Serpentineusa.pdf
Sesame Street - Letter-Go-Round	en	https://archive.org/download/Letter-Go-Round_1984_CBS_Software/Letter-Go-Round_1984_CBS_Software.pdf
Seymour Goes to Hollywood	en	http://www.digitpress.com/library/manuals/c64/seymourgoeshollywood.txt
Shackled	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Shackled (Europe).pdf
Shadow Dancer	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Shadow Dancer (Europe).pdf
Shadow of the Beast	en	https://archive.org/download/Commodore64Manuals/ShadowOfTheBeastusasideA.pdf
