007 - A View to a Kill	en-gb,nl	https://archive.org/download/Commodore64Manuals/ViewToAKillAeurope.pdf
Barry McGuigan World Championship Boxing	en	https://archive.org/download/Star_Rank_Boxing_II_1987_Gamestar/Star_Rank_Boxing_II_1987_Gamestar.pdf
Batalyx	en	https://archive.org/download/Batalyx_1985_Llamasoft/Batalyx_1985_Llamasoft.pdf
Bath Time	nl	https://archive.org/download/Commodore64Manuals/Bath Time (Europe).pdf
Batman - The Caped Crusader	en	https://archive.org/download/Batman_The_Caped_Crusader_1988_Ocean/Batman_The_Caped_Crusader_1988_Ocean.pdf
Batman - The Movie	en	https://archive.org/download/Commodore64Manuals/Batman - The Movie (Europe).pdf
Batman - The Movie	es	https://archive.org/download/BatmanTheMovieES/Batman The Movie (ES).pdf
Battle Command	en	https://archive.org/download/Commodore64Manuals/Battle Command (Ocean) (Europe).pdf
Battle Command	en-gb,de,it	https://archive.org/download/Battle_Command_1991_Ocean_a/Battle_Command_1991_Ocean_a.pdf
Battle Field	en	https://archive.org/download/Commodore64Manuals/Battlefield (Europe).pdf	rotate=90
Battle Stations	de	https://archive.org/download/ussjohnyoung/USS John Young Amiga.pdf
Battle Valley	en	http://www.digitpress.com/library/manuals/c64/battle_valley.txt
Battleships	en	https://archive.org/download/Commodore64Manuals/Battleship (Epyx) (USA).pdf
Battlezone	en	https://archive.org/download/Commodore64Manuals/Battlezone (USA).pdf
Bazooka Bill	en	https://archive.org/download/Commodore64Manuals/Bazooka Bill (Europe).pdf
BC II - Grog's Revenge	en	https://archive.org/download/Commodore64Manuals/BC II - Grog's Revenge (USA).pdf
BC's Quest for Tires	en	https://archive.org/download/Commodore64Manuals/BC's Quest for Tires (USA).pdf
Beach Buggy Simulator	en	https://archive.org/download/Commodore64Manuals/Beach Buggy Simulator (Europe).pdf
Beach-Head	en	https://archive.org/download/Commodore64Manuals/Beach-Head (USA).pdf
Beach-Head II	en	https://archive.org/download/Commodore64Manuals/Beach-Head II - The Dictator Strikes Back! (USA).pdf
Beamrider	en	https://archive.org/download/Commodore64Manuals/Beamrider (USA).pdf
Beamrider (Europe) (Firebird)	en	https://archive.org/download/Beamrider_1984_Firebird_budget/Beamrider_1984_Firebird_budget.pdf
Bedlam	en	https://archive.org/download/Commodore64Manuals/Bedlam (Europe).pdf
Beverly Hills Cop	en-gb,de	https://archive.org/download/Commodore64Manuals/Beverly Hills Cop (Europe).pdf
Beyond the Ice Palace	en-gb,de,es,fr,it	https://archive.org/download/Commodore64Manuals/Beyond the Ice Palace (Europe).pdf
Big Bird's Funhouse	en	https://archive.org/download/Commodore64Manuals/Big Bird's Funhouse (USA).pdf
Big Bird's Special Delivery	en	https://archive.org/download/Commodore64Manuals/Big Bird's Special Delivery (USA).pdf
Big Mac - The Mad Maintenance Man	en-gb,de,es,fr,it	https://archive.org/download/Commodore64Manuals/Big Mac - The Mad Maintenance Man (Europe).pdf
Big Trouble in Little China	en	https://archive.org/download/AmstradCPCManuals_201812/Big Trouble in Little China (Europe).pdf
Bigfoot	en-gb,de,es,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Bigfoot (Europe).pdf
Bionic Commando	en-gb,de	https://archive.org/download/bionic_manual/bionic_manual.jpg
Black Lamp	en	https://archive.org/download/Commodore64Manuals/Black Lamp (Europe).pdf
Black Tiger	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Black Tiger (Europe).pdf
Blasteroids	en	https://archive.org/download/AmstradCPCManuals_201812/Blasteroids (Europe).pdf
Bloodwych	en	https://archive.org/download/AmstradCPCManuals_201812/Bloodwych (Europe).pdf
Blue Max	en	https://archive.org/download/agm_Blue_Max/Blue_Max.pdf
Blue Max 2001	en	https://archive.org/download/Commodore64Manuals/Blue Max 2001 (USA).pdf
Blueprint	en	https://archive.org/download/Commodore64Manuals/Blueprint (USA).pdf
BMX Kidz	en	https://archive.org/download/BMX_Kidz_1987_Firebird_Software/BMX_Kidz_1987_Firebird_Software.pdf
BMX Racers	en-gb,de,es,fr,it	https://archive.org/download/Commodore64Manuals/BMX Racers (Europe).pdf
BMX Simulator	en	https://archive.org/download/BMX_Simulator_1987_CodeMasters/BMX_Simulator_1987_CodeMasters.pdf
BMX Simulator 2	en-gb,de,fr	https://archive.org/download/BMX_Simulator_2_1989_CodeMasters/BMX_Simulator_2_1989_CodeMasters.pdf
BMX Trials	en	https://archive.org/download/BMX_Trials_1985_Mastertronic/BMX_Trials_1985_Mastertronic.pdf	pages=2-2,rotate=90
Bombjack	en-gb,de	https://archive.org/download/Commodore64Manuals/Bomb Jack (Europe).pdf
Bombjack II	en-gb,de,fr,it	https://archive.org/download/Bomb_Jack_II_1986_Encore_budget/Bomb_Jack_II_1986_Encore_budget.pdf
Bonanza Bros	en-gb,de,fr,it	https://archive.org/download/AtariSTManuals_201812/Bonanza Bros.pdf
Booty	en	https://archive.org/download/Booty_1984_Firebird_Software/Booty_1984_Firebird_Software.pdf
Bosconian 87	en	https://archive.org/download/Commodore64Manuals/Bosconian 87 (Europe).pdf
Boulder Dash	en	https://archive.org/download/Boulder_Dash_1984_First_Star_Software/Boulder_Dash_1984_First_Star_Software.pdf
Boulder Dash	es	https://archive.org/download/BoulderDashES/Boulder Dash (ES).pdf
Boulder Dash Construction Kit	en	https://archive.org/download/BoulderDashConstructionKitEpyx/Boulder_Dash_Construction_Kit_Epyx.pdf
Bounces	en	http://www.digitpress.com/library/manuals/c64/Bounces.txt
BraveStarr	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/BraveStarr (Europe).pdf
Break Dance	en	https://archive.org/download/Commodore64Manuals/Break Dance (USA).pdf
Break Fever	en	https://archive.org/download/Commodore64Manuals/Break Fever (Europe).pdf
Breakthru	en	https://archive.org/download/Commodore64Manuals/Breakthru (Europe).pdf
Bridge 64	en	https://archive.org/download/Commodore64Manuals/Bridge 64 (Sweden).pdf
Bristles	en	https://archive.org/download/bristles-first-star-software/Bristles_First_Star_Software_jp2.zip
Bruce Lee	en	https://archive.org/download/Bruce_Lee_1984_Datasoft/Bruce_Lee_1984_Datasoft.pdf
Bubble Bobble	en	https://archive.org/download/AtariSTManuals_201812/Bubble Bobble (Hit Squad).pdf
Bubble Burst	en	https://archive.org/download/Commodore64Manuals/Bubble Burst (USA).pdf
Bubble Dizzy	en	http://www.digitpress.com/library/manuals/c64/BubbleDizzy.txt
Bubble Ghost	en	https://archive.org/download/Commodore64Manuals/Bubble Ghost (USA).pdf
Buck Rogers - Planet of Zoom	en	https://archive.org/download/Commodore64Manuals/Buck Rogers - Planet of Zoom (Europe).pdf
Bug Blaster	en	https://archive.org/download/Commodore64Manuals/Bug Blaster (Europe).pdf
Buggy Boy	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Buggy Boy (Europe).pdf
Bullseye	en	https://archive.org/download/World_of_Spectrum_June_2017_Mirror/World of Spectrum June 2017 Mirror.zip/World of Spectrum June 2017 Mirror/sinclair/games-info/b/Bullseye.txt
